Country,Income_Level,Prompt_Type,LLM,Citation_ID,Author,Title,Year,Journal,DOI,DOI_Valid,Geographic_Relevant,CrossRef_Title,CrossRef_Authors,CrossRef_Year,CrossRef_Journal,Validation_Error
United States,High Income,Use,Claude-Haiku,United States_Use_5,"Fogg, B. J., Soohoo, C., Danielson, D. R., Marable, L., Stanford, J., & Tauber, E. R.","How do users evaluate the credibility of Web sites?: a study with over 2,500 participants",2003,Proceedings of the 2003 conference on Designing for user experiences,https://doi.org/10.1145/997078.997097,True,True,How do users evaluate the credibility of Web sites?,B. J. Fogg; Cathy Soohoo; David R. Danielson,2003,Proceedings of the 2003 conference on Designing for user experiences,
United States,High Income,Use,Claude-Haiku,United States_Use_6,"Metzger, M. J.",Making sense of credibility on the Web: Models for evaluating online information and recommendations for future research,2007,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.20672,True,True,Making sense of credibility on the Web: Models for evaluating online information and recommendations for future research,Miriam J. Metzger,2007,Journal of the American Society for Information Science and Technology,
United States,High Income,Use,Claude-Haiku,United States_Use_7,"Rieh, S. Y.",Judgment of information quality and cognitive authority in the Web,2002,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.10017,True,True,Judgment of information quality and cognitive authority in the Web,Soo Young Rieh,2002,Journal of the American Society for Information Science and Technology,
United States,High Income,Use,Claude-Haiku,United States_Use_8,"Wathen, C. N., & Burkell, J.",Believe it or not: Factors influencing credibility on the Web,2002,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.10016,True,True,Believe it or not: Factors influencing credibility on the Web,C. Nadine Wathen; Jacquelyn Burkell,2002,Journal of the American Society for Information Science and Technology,
United States,High Income,Use,Claude-Haiku,United States_Use_9,"Lucassen, T., & Schraagen, J. M.",Evaluating information on the web: Towards a more reliable user behavior,2013,Proceedings of the 2013 conference on Computer supported cooperative work,https://doi.org/10.1145/2441776.2441786,True,False,Local-universality,Sun Young Park; Katie Pine; Yunan Chen,2013,Proceedings of the 2013 conference on Computer supported cooperative work,
United States,High Income,Use,Claude-Haiku,United States_Use_10,"Metzger, M. J., Flanagin, A. J., & Medders, R. B.",Social and heuristic approaches to credibility evaluation online,2010,Journal of Communication,https://doi.org/10.1111/j.1460-2466.2010.01488.x,True,False,Social and Heuristic Approaches to Credibility Evaluation Online,Miriam J. Metzger; Andrew J. Flanagin; Ryan B. Medders,2010,Journal of Communication,
United States,High Income,Use,Claude-Haiku,United States_Use_11,"Metzger, M. J., Flanagin, A. J., Eyal, K., Lemus, D. R., & McCann, R. M.","Credibility for the 21st century: Integrating perspectives on source, message, and media credibility in the contemporary media environment",2003,Annals of the International Communication Association,https://doi.org/10.1080/23808985.2003.11679029,True,False,"Credibility for the 21st Century: Integrating Perspectives on Source, Message, and Media Credibility in the Contemporary Media Environment",Miriam J. Metzger; Andrew J. Flanagin; Keren Eyal,2003,Annals of the International Communication Association,
United States,High Income,Use,Claude-Haiku,United States_Use_12,"Flanagin, A. J., & Metzger, M. J.",Perceptions of Internet information credibility,2000,Journalism & Mass Communication Quarterly,https://doi.org/10.1177/107769900007700107,True,True,The Microscope and the Moving Target: The Challenge of Applying Content Analysis to the World Wide Web,Sally J. McMillan,2000,Journalism &amp; Mass Communication Quarterly,
United States,High Income,Use,Claude-Haiku,United States_Use_13,"Fogg, B. J., Marshall, J., Laraki, O., Osipovich, A., Varma, C., Fang, N., ... & Treinen, M.",What makes Web sites credible?: a report on a large quantitative study,2001,Proceedings of the SIGCHI conference on Human factors in computing systems,https://doi.org/10.1145/365024.365037,True,False,What makes Web sites credible?,B. J. Fogg; Jonathan Marshall; Othman Laraki,2001,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,
United States,High Income,Use,Claude-Haiku,United States_Use_14,"Rieh, S. Y., & Hilligoss, B.",College students' credibility judgments in the information-seeking process,2008,"Digital media, youth, and credibility",https://doi.org/10.1162/dmal.9780262562324.049,False,False,,,,,DOI not found in CrossRef
United States,High Income,Use,Claude-Haiku,United States_Use_15,"Metzger, M. J., Flanagin, A. J., & Zwarun, L.","College student Web use, perceptions of information credibility, and verification behavior",2003,Computers & Education,https://doi.org/10.1016/S0360-1315(03)00042-7,False,False,,,,,DOI not found in CrossRef
United States,High Income,Use,Claude-Haiku,United States_Use_16,"Flanagin, A. J., & Metzger, M. J.",Digital media and youth: Unparalleled opportunity and unprecedented responsibility,2008,"Digital media, youth, and credibility",https://doi.org/10.1162/dmal.9780262562324.005,False,False,,,,,DOI not found in CrossRef
United States,High Income,Use,Claude-Haiku,United States_Use_17,"Metzger, M. J., & Flanagin, A. J.",Using Web 2.0 technologies to enhance evidence-based medical information,2011,Journal of health communication,https://doi.org/10.1080/10810730903528066,True,False,Passport to Promiscuity or Lifesaver: Press Coverage of HPV Vaccination and Risky Sexual Behavior,Alice Forster; Jane Wardle; Judith Stephenson,2010,Journal of Health Communication,
United States,High Income,Use,Claude-Haiku,United States_Use_18,"Metzger, M. J., Flanagin, A. J., & Medders, R. B.",Social and heuristic approaches to credibility evaluation online,2010,Journal of Communication,https://doi.org/10.1111/j.1460-2466.2010.01488.x,True,False,Social and Heuristic Approaches to Credibility Evaluation Online,Miriam J. Metzger; Andrew J. Flanagin; Ryan B. Medders,2010,Journal of Communication,
United States,High Income,Use,Claude-Haiku,United States_Use_19,"Flanagin, A. J., & Metzger, M. J.","The role of site features, user attributes, and information verification behaviors on the perceived credibility of web-based information",2007,New Media & Society,https://doi.org/10.1177/1461444807080728,False,False,,,,,DOI not found in CrossRef
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_1,"Bode, L.",Pruning the news feed: Unfriending and unfollowing political content on social media,2016,Research & Politics,https://doi.org/10.1177/2053168016661873,True,True,Pruning the news feed: Unfriending and unfollowing political content on social media,Leticia Bode,2016,Research &amp; Politics,
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_2,"Bode, L., & Vraga, E. K.","In related news, that story is fake: Audience beliefs about traditional and social media news",2018,Communication Research,https://doi.org/10.1177/0093650217714126,False,False,,,,,DOI not found in CrossRef
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_3,"Carr, C. T., & Hayes, R. A.","Social media: Defining, developing, and divining",2015,Atlantic Journal of Communication,https://doi.org/10.1080/15456870.2015.972282,True,False,"Social Media: Defining, Developing, and Divining",Caleb T. Carr; Rebecca A. Hayes,2015,Atlantic Journal of Communication,
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_4,"Choi, D. H., Yoo, W., Noh, G. Y., & Park, K.",The impact of social media on health behaviors and outcomes in cancer care,2017,Telemedicine and e-Health,https://doi.org/10.1089/tmj.2016.0103,False,False,,,,,DOI not found in CrossRef
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_5,"Chou, W. Y. S., Hunt, Y. M., Beckjord, E. B., Moser, R. P., & Hesse, B. W.",Social media use in the United States: Implications for health communication,2009,Journal of Medical Internet Research,https://doi.org/10.2196/jmir.1249,True,True,Social Media Use in the United States: Implications for Health Communication,Wen-ying Sylvia Chou; Yvonne M Hunt; Ellen Burke Beckjord,2009,Journal of Medical Internet Research,
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_6,"Delli Carpini, M. X., & Keeter, S.",What Americans know about politics and why it matters,1996,Yale University Press,https://doi.org/10.12987/yale/9780300062076.001.0001,False,False,,,,,DOI not found in CrossRef
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_7,"Ellison, N. B., Steinfield, C., & Lampe, C.","The benefits of Facebook ""friends"": Social capital and college students' use of online social network sites",2007,Journal of Computer-Mediated Communication,https://doi.org/10.1111/j.1083-6101.2007.00367.x,True,True,The Benefits of Facebook “Friends:” Social Capital and College Students’ Use of Online Social Network Sites,Nicole B. Ellison; Charles Steinfield; Cliff Lampe,2007,Journal of Computer-Mediated Communication,
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_8,"Feezell, J. T.",Agenda setting through social media: The importance of incidental news exposure and social filtering in the digital era,2018,Political Research Quarterly,https://doi.org/10.1177/1065912917744895,True,True,Agenda Setting through Social Media: The Importance of Incidental News Exposure and Social Filtering in the Digital Era,Jessica T. Feezell,2018,Political Research Quarterly,
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_9,"Gruzd, A., Jacobson, J., Wellman, B., & Dimitrov, D.",Photoparticipation on Instagram: A social movements perspective,2020,Journal of the Association for Information Science and Technology,https://doi.org/10.1002/asi.24321,True,False,Co‐contributorship network and division of labor in individual scientific collaborations,Chao Lu; Yingyi Zhang; Yong‐Yeol Ahn,2020,Journal of the Association for Information Science and Technology,
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_10,"Hargittai, E.","Digital na(t)ives? Variation in internet skills and uses among members of the ""net generation",2010,Sociological Inquiry,https://doi.org/10.1111/j.1475-682X.2009.00317.x,True,True,Digital Na(t)ives? Variation in Internet Skills and Uses among Members of the “Net Generation”,Eszter Hargittai,2010,Sociological Inquiry,
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_11,"Hargittai, E., & Hinnant, A.",Digital inequality: Differences in young adults' use of the Internet,2008,Communication Research,https://doi.org/10.1177/0093650208321782,True,True,Digital Inequality,Eszter Hargittai; Amanda Hinnant,2008,Communication Research,
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_12,"Hargittai, E., & Walejko, G.",The participation divide: Content creation and sharing in the digital age,2008,"Information, Communication & Society",https://doi.org/10.1080/13691180801946150,True,False,THE PARTICIPATION DIVIDE: Content creation and sharing in the digital age1,Eszter Hargittai; Gina Walejko,2008,"Information, Communication &amp; Society",
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_13,"Holton, A. E., Baek, K., Coddington, M., & Yaschur, C.",Seeking and sharing: Motivations for linking on Twitter,2014,Communication Research Reports,https://doi.org/10.1080/08824096.2014.976858,False,False,,,,,DOI not found in CrossRef
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_14,"Katz, E., & Lazarsfeld, P. F.",Personal influence: The part played by people in the flow of mass communications,1955,Free Press,https://doi.org/10.4324/9781315126234,True,False,Personal Influence,Elihu Katz; Paul F. Lazarsfeld,2017,,
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_15,"Messing, S., & Westwood, S. J.",Selective exposure in the age of social media: Endorsements trump partisan source affiliation when selecting news online,2014,Communication Research,https://doi.org/10.1177/0093650212466406,True,True,Selective Exposure in the Age of Social Media,Solomon Messing; Sean J. Westwood,2014,Communication Research,
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_16,"Mossberger, K., Tolbert, C. J., & McNeal, R. S.","Digital citizenship: The internet, society, and participation",2007,MIT Press,https://doi.org/10.7551/mitpress/9780262134927.001.0001,True,True,Toward Sustainable Communities,,2009,,
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_17,Pew Research Center,Social media use in 2021,2021,Pew Research Center,https://www.pewresearch.org/internet/2021/04/07/social-media-use-in-2021/,False,False,,,,,Invalid DOI format
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_18,"Scheufele, D. A., & Tewksbury, D.","Framing, agenda setting, and priming: The evolution of three media effects models",2007,Journal of Communication,https://doi.org/10.1111/j.1460-2466.2006.00326.x,True,False,Book Reviews,Chad Raphael,2006,Journal of Communication,
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_19,"Sunstein, C. R.",#Republic: Divided democracy in the age of social media,2017,Princeton University Press,https://doi.org/10.1515/9781400884711,True,False,#Republic,Cass R. Sunstein,2017,,
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_20,"Vraga, E. K., & Tully, M.",Effectiveness of a non-classroom news media literacy intervention among different undergraduate populations,2016,Journalism & Mass Communication Educator,https://doi.org/10.1177/1077695816649442,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Claude-Haiku,United States_Needs_1,"Dervin, B., & Nilan, M.",Information needs and uses,1986,Annual Review of Information Science and Technology,https://doi.org/10.1016/B978-0-12-372550-8.50008-X,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Claude-Haiku,United States_Needs_2,"Wilson, T. D.",Information needs and uses: fifty years of progress?,1994,Fifty years of information progress: a Journal of Documentation review,https://doi.org/10.1108/eb026722,True,True,ASK FOR INFORMATION RETRIEVAL: PART I. BACKGROUND AND THEORY,N.J. BELKIN; R.N. ODDY; H.M. BROOKS,1982,Journal of Documentation,
United States,High Income,Needs,Claude-Haiku,United States_Needs_3,"Marchionini, G.",Information-seeking strategies of novices using a full-text electronic encyclopedia,1989,Journal of the American Society for Information Science,https://doi.org/10.1002/(SICI)1097-4571(199009)41:1<54::AID-ASI6>3.0.CO;2-R,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Claude-Haiku,United States_Needs_4,"Kuhlthau, C. C.",Inside the search process: Information seeking from the user's perspective,1991,Journal of the American Society for Information Science,https://doi.org/10.1002/(SICI)1097-4571(199106)42:5<361::AID-ASI6>3.0.CO;2-#,True,True,Inside the search process: Information seeking from the user's perspective,Carol C. Kuhlthau,1991,Journal of the American Society for Information Science,
United States,High Income,Needs,Claude-Haiku,United States_Needs_5,"Leckie, G. J., Pettigrew, K. E., & Sylvain, C.","Modeling the information seeking of professionals: a general model derived from research on engineers, health care professionals, and lawyers",1996,The Library Quarterly,https://doi.org/10.1086/602864,True,False,"Modeling the Information Seeking of Professionals: A General Model Derived from Research on Engineers, Health Care Professionals, and Lawyers",,1996,The Library Quarterly,
United States,High Income,Needs,Claude-Haiku,United States_Needs_6,"Choo, C. W.",Information management for the intelligent organization: the art of scanning the environment,1995,"Information Today, Inc.",https://doi.org/10.1108/eb054545,True,False,Build leadership talent from within,Kenneth Kaye,1996,Planning Review,
United States,High Income,Needs,Claude-Haiku,United States_Needs_7,"Fidel, R., & Green, M.",The many faces of accessibility: engineers' perception of information sources,2004,Information Processing & Management,https://doi.org/10.1016/j.ipm.2003.08.001,True,False,A generic ranking function discovery framework by genetic programming for information retrieval,Weiguo Fan; Michael D Gordon; Praveen Pathak,2004,Information Processing &amp; Management,
United States,High Income,Needs,Claude-Haiku,United States_Needs_8,"Savolainen, R.","Everyday life information seeking: Approaching information seeking in the context of ""way of life",1995,The Library Quarterly,https://doi.org/10.1086/602864,True,False,"Modeling the Information Seeking of Professionals: A General Model Derived from Research on Engineers, Health Care Professionals, and Lawyers",,1996,The Library Quarterly,
United States,High Income,Needs,Claude-Haiku,United States_Needs_9,"Julien, H., & Michels, D.",Intra-individual information behaviour in daily life,2004,Information Processing & Management,https://doi.org/10.1016/j.ipm.2003.09.005,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Claude-Haiku,United States_Needs_10,"Bates, M. J.",The design of browsing and berrypicking techniques for the online search interface,1989,Online Review,https://doi.org/10.1108/eb024320,True,True,The design of browsing and berrypicking techniques for the online search interface,Marcia J. Bates,1989,Online Review,
United States,High Income,Needs,Claude-Haiku,United States_Needs_11,"Belkin, N. J.",Anomalous states of knowledge as a basis for information retrieval,1980,Canadian Journal of Information Science,https://doi.org/10.1016/0306-4573(80)90017-1,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Claude-Haiku,United States_Needs_12,"Ingwersen, P.",Cognitive perspectives of information retrieval interaction: elements of a cognitive IR theory,1996,Journal of Documentation,https://doi.org/10.1108/eb026960,True,True,COGNITIVE PERSPECTIVES OF INFORMATION RETRIEVAL INTERACTION: ELEMENTS OF A COGNITIVE IR THEORY,PETER INGWERSEN,1996,Journal of Documentation,
United States,High Income,Needs,Claude-Haiku,United States_Needs_13,"Vakkari, P.",Task-based information searching,1999,Annual Review of Information Science and Technology,https://doi.org/10.1002/(SICI)1097-4571(1999)50:1<413::AID-ASI13>3.0.CO;2-G,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Claude-Haiku,United States_Needs_14,"Byström, K., & Järvelin, K.",Task complexity affects information seeking and use,1995,Information Processing & Management,https://doi.org/10.1016/0306-4573(95)80035-R,True,True,Task complexity affects information seeking and use,Katriina Byström; Kalervo Järvelin,1995,Information Processing &amp; Management,
United States,High Income,Needs,Claude-Haiku,United States_Needs_15,"Kuhlthau, C. C.",Developing a model of the library search process: cognitive and affective aspects,1988,RQ,https://doi.org/10.2307/25828262,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Claude-Haiku,United States_Needs_16,"Dervin, B.","An overview of sense-making research: concepts, methods, and results to date",1983,International Communication Association annual meeting,https://doi.org/10.1016/B978-0-12-372550-8.50005-4,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Claude-Haiku,United States_Needs_17,"Wilson, T. D.",Models in information behaviour research,1999,Journal of Documentation,https://doi.org/10.1108/EUM0000000007145,True,True,Models in information behaviour research,T.D. Wilson,1999,Journal of Documentation,
United States,High Income,Needs,Claude-Haiku,United States_Needs_18,"Savolainen, R.","Everyday life information seeking: Approaching information seeking in the context of ""way of life",1995,The Library Quarterly,https://doi.org/10.1086/602864,True,False,"Modeling the Information Seeking of Professionals: A General Model Derived from Research on Engineers, Health Care Professionals, and Lawyers",,1996,The Library Quarterly,
United States,High Income,Needs,Claude-Haiku,United States_Needs_19,"Julien, H., & Michels, D.",Intra-individual information behaviour in daily life,2004,Information Processing & Management,https://doi.org/10.1016/j.ipm.2003.09.005,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Claude-Haiku,United States_Needs_20,"Bates, M. J.",The design of browsing and berrypicking techniques for the online search interface,1989,Online Review,https://doi.org/10.1108/eb024320,True,True,The design of browsing and berrypicking techniques for the online search interface,Marcia J. Bates,1989,Online Review,
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_1,"Case, Donald O.; Given, Lisa M.","Looking for information: A survey of research on information seeking, needs, and behavior",2016,Journal of the Association for Information Science and Technology,https://doi.org/10.1002/asi.23673,True,False,"Introduction to Information Behaviour. NigelFord. London: Facet Publishing, 2015. 272 pp. £49.95 (paperback). (ISBN 9781856048507)",Charles Cole,2017,Journal of the Association for Information Science and Technology,
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_2,"Savolainen, Reijo","Information behavior and information practice: Reviewing the ""umbrella concepts"" of information-seeking studies",2007,The Library Quarterly,https://doi.org/10.1086/517840,True,False,Information Behavior and Information Practice: Reviewing the “Umbrella Concepts” of Information‐Seeking Studies,Reijo Savolainen,2007,The Library Quarterly,
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_3,"Wilson, T.D.",Human information behavior,2000,Informing Science,https://doi.org/10.28945/576,True,False,Human Information Behavior,T. D. Wilson,2000,Informing Science: The International Journal of an Emerging Transdiscipline,
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_4,"Kuhlthau, Carol C.",Seeking meaning: A process approach to library and information services,2004,Libraries Unlimited,https://doi.org/10.1108/00242530410526977,False,False,,,,,DOI not found in CrossRef
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_5,"Dervin, Brenda",Sense-making theory and practice: An overview of user interests in knowledge seeking and use,1998,Journal of Knowledge Management,https://doi.org/10.1108/13673279810249369,True,True,Sense‐making theory and practice: an overview of user interests in knowledge seeking and use,Brenda Dervin,1998,Journal of Knowledge Management,
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_6,"Bates, Marcia J.",The design of browsing and berrypicking techniques for the online search interface,1989,Online Review,https://doi.org/10.1108/eb024320,True,True,The design of browsing and berrypicking techniques for the online search interface,Marcia J. Bates,1989,Online Review,
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_7,"Marchionini, Gary",Information-seeking strategies of novices using a full-text electronic encyclopedia,1989,Journal of the American Society for Information Science,https://doi.org/10.1002/(SICI)1097-4571(199009)41:6<437::AID-ASI11>3.0.CO;2-R,False,False,,,,,DOI not found in CrossRef
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_8,"Leckie, Gloria J.; Pettigrew, Karen E.; Sylvain, Christian","Modeling the information seeking of professionals: A general model derived from research on engineers, health care professionals, and lawyers",1996,The Library Quarterly,https://doi.org/10.1086/602864,True,False,"Modeling the Information Seeking of Professionals: A General Model Derived from Research on Engineers, Health Care Professionals, and Lawyers",,1996,The Library Quarterly,
