Country,Income_Level,Prompt_Type,LLM,Citation_ID,Author,Title,Year,Journal,DOI
United States,High Income,Use,Claude-Haiku,United States_Use_16,"Flanagin, A. J., & Metzger, M. J.",Digital media and youth: Unparalleled opportunity and unprecedented responsibility,2008,"Digital media, youth, and credibility",https://doi.org/10.1162/dmal.9780262562324.005
United States,High Income,Use,Claude-Haiku,United States_Use_17,"Metzger, M. J., & Flanagin, A. J.",Using Web 2.0 technologies to enhance evidence-based medical information,2011,Journal of health communication,https://doi.org/10.1080/10810730903528066
United States,High Income,Use,Claude-Haiku,United States_Use_18,"Metzger, M. J., Flanagin, A. J., & Medders, R. B.",Social and heuristic approaches to credibility evaluation online,2010,Journal of Communication,https://doi.org/10.1111/j.1460-2466.2010.01488.x
United States,High Income,Use,Claude-Haiku,United States_Use_19,"Flanagin, A. J., & Metzger, M. J.","The role of site features, user attributes, and information verification behaviors on the perceived credibility of web-based information",2007,New Media & Society,https://doi.org/10.1177/1461444807080728
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_1,"Bode, L.",Pruning the news feed: Unfriending and unfollowing political content on social media,2016,Research & Politics,https://doi.org/10.1177/2053168016661873
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_2,"Bode, L., & Vraga, E. K.","In related news, that story is fake: Audience beliefs about traditional and social media news",2018,Communication Research,https://doi.org/10.1177/0093650217714126
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_3,"Carr, C. T., & Hayes, R. A.","Social media: Defining, developing, and divining",2015,Atlantic Journal of Communication,https://doi.org/10.1080/15456870.2015.972282
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_4,"Choi, D. H., Yoo, W., Noh, G. Y., & Park, K.",The impact of social media on health behaviors and outcomes in cancer care,2017,Telemedicine and e-Health,https://doi.org/10.1089/tmj.2016.0103
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_5,"Chou, W. Y. S., Hunt, Y. M., Beckjord, E. B., Moser, R. P., & Hesse, B. W.",Social media use in the United States: Implications for health communication,2009,Journal of Medical Internet Research,https://doi.org/10.2196/jmir.1249
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_6,"Delli Carpini, M. X., & Keeter, S.",What Americans know about politics and why it matters,1996,Yale University Press,https://doi.org/10.12987/yale/9780300062076.001.0001
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_7,"Ellison, N. B., Steinfield, C., & Lampe, C.","The benefits of Facebook ""friends"": Social capital and college students' use of online social network sites",2007,Journal of Computer-Mediated Communication,https://doi.org/10.1111/j.1083-6101.2007.00367.x
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_8,"Feezell, J. T.",Agenda setting through social media: The importance of incidental news exposure and social filtering in the digital era,2018,Political Research Quarterly,https://doi.org/10.1177/1065912917744895
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_9,"Gruzd, A., Jacobson, J., Wellman, B., & Dimitrov, D.",Photoparticipation on Instagram: A social movements perspective,2020,Journal of the Association for Information Science and Technology,https://doi.org/10.1002/asi.24321
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_10,"Hargittai, E.","Digital na(t)ives? Variation in internet skills and uses among members of the ""net generation",2010,Sociological Inquiry,https://doi.org/10.1111/j.1475-682X.2009.00317.x
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_11,"Hargittai, E., & Hinnant, A.",Digital inequality: Differences in young adults' use of the Internet,2008,Communication Research,https://doi.org/10.1177/0093650208321782
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_12,"Hargittai, E., & Walejko, G.",The participation divide: Content creation and sharing in the digital age,2008,"Information, Communication & Society",https://doi.org/10.1080/13691180801946150
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_13,"Holton, A. E., Baek, K., Coddington, M., & Yaschur, C.",Seeking and sharing: Motivations for linking on Twitter,2014,Communication Research Reports,https://doi.org/10.1080/08824096.2014.976858
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_14,"Katz, E., & Lazarsfeld, P. F.",Personal influence: The part played by people in the flow of mass communications,1955,Free Press,https://doi.org/10.4324/9781315126234
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_15,"Messing, S., & Westwood, S. J.",Selective exposure in the age of social media: Endorsements trump partisan source affiliation when selecting news online,2014,Communication Research,https://doi.org/10.1177/0093650212466406
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_16,"Mossberger, K., Tolbert, C. J., & McNeal, R. S.","Digital citizenship: The internet, society, and participation",2007,MIT Press,https://doi.org/10.7551/mitpress/9780262134927.001.0001
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_17,Pew Research Center,Social media use in 2021,2021,Pew Research Center,https://www.pewresearch.org/internet/2021/04/07/social-media-use-in-2021/
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_18,"Scheufele, D. A., & Tewksbury, D.","Framing, agenda setting, and priming: The evolution of three media effects models",2007,Journal of Communication,https://doi.org/10.1111/j.1460-2466.2006.00326.x
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_19,"Sunstein, C. R.",#Republic: Divided democracy in the age of social media,2017,Princeton University Press,https://doi.org/10.1515/9781400884711
United States,High Income,Sharing,Claude-Haiku,United States_Sharing_20,"Vraga, E. K., & Tully, M.",Effectiveness of a non-classroom news media literacy intervention among different undergraduate populations,2016,Journalism & Mass Communication Educator,https://doi.org/10.1177/1077695816649442
United States,High Income,Needs,Claude-Haiku,United States_Needs_1,"Dervin, B., & Nilan, M.",Information needs and uses,1986,Annual Review of Information Science and Technology,https://doi.org/10.1016/B978-0-12-372550-8.50008-X
United States,High Income,Needs,Claude-Haiku,United States_Needs_2,"Wilson, T. D.",Information needs and uses: fifty years of progress?,1994,Fifty years of information progress: a Journal of Documentation review,https://doi.org/10.1108/eb026722
United States,High Income,Needs,Claude-Haiku,United States_Needs_3,"Marchionini, G.",Information-seeking strategies of novices using a full-text electronic encyclopedia,1989,Journal of the American Society for Information Science,https://doi.org/10.1002/(SICI)1097-4571(199009)41:1<54::AID-ASI6>3.0.CO;2-R
United States,High Income,Needs,Claude-Haiku,United States_Needs_4,"Kuhlthau, C. C.",Inside the search process: Information seeking from the user's perspective,1991,Journal of the American Society for Information Science,https://doi.org/10.1002/(SICI)1097-4571(199106)42:5<361::AID-ASI6>3.0.CO;2-#
United States,High Income,Needs,Claude-Haiku,United States_Needs_5,"Leckie, G. J., Pettigrew, K. E., & Sylvain, C.","Modeling the information seeking of professionals: a general model derived from research on engineers, health care professionals, and lawyers",1996,The Library Quarterly,https://doi.org/10.1086/602864
United States,High Income,Needs,Claude-Haiku,United States_Needs_6,"Choo, C. W.",Information management for the intelligent organization: the art of scanning the environment,1995,"Information Today, Inc.",https://doi.org/10.1108/eb054545
United States,High Income,Needs,Claude-Haiku,United States_Needs_7,"Fidel, R., & Green, M.",The many faces of accessibility: engineers' perception of information sources,2004,Information Processing & Management,https://doi.org/10.1016/j.ipm.2003.08.001
United States,High Income,Needs,Claude-Haiku,United States_Needs_8,"Savolainen, R.","Everyday life information seeking: Approaching information seeking in the context of ""way of life",1995,The Library Quarterly,https://doi.org/10.1086/602864
United States,High Income,Needs,Claude-Haiku,United States_Needs_9,"Julien, H., & Michels, D.",Intra-individual information behaviour in daily life,2004,Information Processing & Management,https://doi.org/10.1016/j.ipm.2003.09.005
United States,High Income,Needs,Claude-Haiku,United States_Needs_10,"Bates, M. J.",The design of browsing and berrypicking techniques for the online search interface,1989,Online Review,https://doi.org/10.1108/eb024320
United States,High Income,Needs,Claude-Haiku,United States_Needs_11,"Belkin, N. J.",Anomalous states of knowledge as a basis for information retrieval,1980,Canadian Journal of Information Science,https://doi.org/10.1016/0306-4573(80)90017-1
United States,High Income,Needs,Claude-Haiku,United States_Needs_12,"Ingwersen, P.",Cognitive perspectives of information retrieval interaction: elements of a cognitive IR theory,1996,Journal of Documentation,https://doi.org/10.1108/eb026960
United States,High Income,Needs,Claude-Haiku,United States_Needs_13,"Vakkari, P.",Task-based information searching,1999,Annual Review of Information Science and Technology,https://doi.org/10.1002/(SICI)1097-4571(1999)50:1<413::AID-ASI13>3.0.CO;2-G
United States,High Income,Needs,Claude-Haiku,United States_Needs_14,"Byström, K., & Järvelin, K.",Task complexity affects information seeking and use,1995,Information Processing & Management,https://doi.org/10.1016/0306-4573(95)80035-R
United States,High Income,Needs,Claude-Haiku,United States_Needs_15,"Kuhlthau, C. C.",Developing a model of the library search process: cognitive and affective aspects,1988,RQ,https://doi.org/10.2307/25828262
United States,High Income,Needs,Claude-Haiku,United States_Needs_16,"Dervin, B.","An overview of sense-making research: concepts, methods, and results to date",1983,International Communication Association annual meeting,https://doi.org/10.1016/B978-0-12-372550-8.50005-4
United States,High Income,Needs,Claude-Haiku,United States_Needs_17,"Wilson, T. D.",Models in information behaviour research,1999,Journal of Documentation,https://doi.org/10.1108/EUM0000000007145
United States,High Income,Needs,Claude-Haiku,United States_Needs_18,"Savolainen, R.","Everyday life information seeking: Approaching information seeking in the context of ""way of life",1995,The Library Quarterly,https://doi.org/10.1086/602864
United States,High Income,Needs,Claude-Haiku,United States_Needs_19,"Julien, H., & Michels, D.",Intra-individual information behaviour in daily life,2004,Information Processing & Management,https://doi.org/10.1016/j.ipm.2003.09.005
United States,High Income,Needs,Claude-Haiku,United States_Needs_20,"Bates, M. J.",The design of browsing and berrypicking techniques for the online search interface,1989,Online Review,https://doi.org/10.1108/eb024320
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_1,"Case, Donald O.; Given, Lisa M.","Looking for information: A survey of research on information seeking, needs, and behavior",2016,Journal of the Association for Information Science and Technology,https://doi.org/10.1002/asi.23673
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_2,"Savolainen, Reijo","Information behavior and information practice: Reviewing the ""umbrella concepts"" of information-seeking studies",2007,The Library Quarterly,https://doi.org/10.1086/517840
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_3,"Wilson, T.D.",Human information behavior,2000,Informing Science,https://doi.org/10.28945/576
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_4,"Kuhlthau, Carol C.",Seeking meaning: A process approach to library and information services,2004,Libraries Unlimited,https://doi.org/10.1108/00242530410526977
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_5,"Dervin, Brenda",Sense-making theory and practice: An overview of user interests in knowledge seeking and use,1998,Journal of Knowledge Management,https://doi.org/10.1108/13673279810249369
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_6,"Bates, Marcia J.",The design of browsing and berrypicking techniques for the online search interface,1989,Online Review,https://doi.org/10.1108/eb024320
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_7,"Marchionini, Gary",Information-seeking strategies of novices using a full-text electronic encyclopedia,1989,Journal of the American Society for Information Science,https://doi.org/10.1002/(SICI)1097-4571(199009)41:6<437::AID-ASI11>3.0.CO;2-R
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_8,"Leckie, Gloria J.; Pettigrew, Karen E.; Sylvain, Christian","Modeling the information seeking of professionals: A general model derived from research on engineers, health care professionals, and lawyers",1996,The Library Quarterly,https://doi.org/10.1086/602864
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_9,"Fidel, Raya; Green, Maurice",The many faces of accessibility: Engineers' perception of information sources,2004,Information Processing & Management,https://doi.org/10.1016/j.ipm.2003.08.001
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_10,"Agosto, Denise E.; Hughes-Hassell, Sandra","Toward a model of the everyday life information needs of urban teenagers, part 1: Theoretical model",2006,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.20451
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_11,"Agosto, Denise E.; Hughes-Hassell, Sandra","Toward a model of the everyday life information needs of urban teenagers, part 2: Empirical model",2006,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.20452
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_12,"Savolainen, Reijo","Everyday life information seeking: Approaching information seeking in the context of ""way of life",1995,The Library Quarterly,https://doi.org/10.1086/602864
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_13,"Spink, Amanda; Cole, Charles",Human information behavior: Integrating diverse approaches and information use,2006,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.20249
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_14,"Vakkari, Pertti",Task-based information searching,1999,Annual Review of Information Science and Technology,https://doi.org/10.1002/aris.1440330110
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_15,"Wildemuth, Barbara M.",The effects of domain knowledge on search tactic formulation,2004,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.20009
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_16,"Byström, Katriina; Järvelin, Kalervo",Task complexity affects information seeking and use,1995,Information Processing & Management,https://doi.org/10.1016/0306-4573(95)80035-R
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_17,"Kuhlthau, Carol C.",Inside the search process: Information seeking from the user's perspective,1991,Journal of the American Society for Information Science,https://doi.org/10.1002/(SICI)1097-4571(199106)42:5<361::AID-ASI6>3.0.CO;2-#
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_18,"Julien, Heidi; Michels, David",Intra-individual information behaviour in daily life,2004,Information Processing & Management,https://doi.org/10.1016/j.ipm.2003.09.005
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_19,"Erdelez, Sanda",Information encountering: It's more than just bumping into information,1999,Bulletin of the American Society for Information Science and Technology,https://doi.org/10.1002/bult.118
United States,High Income,Behavior,Claude-Haiku,United States_Behavior_20,"Williamson, Kirsty",Discovered by chance: The role of incidental information acquisition in an ecological model of information use,1998,The Library Quarterly,https://doi.org/10.1086/602864
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_1,"Ford, N., Miller, D., & Moss, N.",The role of individual differences in Internet searching: An empirical study,2001,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/1097-4571(2000)9999:9999<::AID-ASI1039>3.0.CO;2-R
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_2,"Urquhart, C., & Rowley, J.",Understanding student information behavior in relation to electronic information services,2007,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.20593
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_3,"Griffiths, J. R., & Brophy, P.",Student searching behavior and the web: Use of academic resources and Google,2005,Library Trends,https://doi.org/10.1353/lib.2005.0049
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_4,"Rowlands, I., & Nicholas, D.",Understanding information behaviour: How do students and faculty find books?,2008,Journal of Academic Librarianship,https://doi.org/10.1016/j.acalib.2008.06.003
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_5,"Hargittai, E.","Digital na(t)ives? Variation in Internet skills and uses among members of the ""net generation",2010,Sociological Inquiry,https://doi.org/10.1111/j.1475-682X.2009.00317.x
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_6,"Connaway, L. S., Dickey, T. J., & Radford, M. L.","If it is too inconvenient I'm not going after it:"" Convenience as a critical factor in information-seeking behaviors",2011,Library & Information Science Research,https://doi.org/10.1016/j.lisr.2010.12.002
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_7,"Rowlands, I., Nicholas, D., Williams, P., Huntington, P., Fieldhouse, M., Gunter, B., ... & Tenopir, C.",The Google generation: the information behaviour of the researcher of the future,2008,Aslib Proceedings,https://doi.org/10.1108/00012530810887953
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_8,"Warwick, C., Rimmer, J., Blandford, A., Gow, J., & Buchanan, G.",Cognitive economy and satisficing in information seeking: A longitudinal study of undergraduate information behavior,2009,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.21179
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_9,"Nicholas, D., Huntington, P., Jamali, H. R., & Dobrowolski, T.","Characterising and evaluating information seeking behaviour in a digital environment: Spotlight on the ""bouncer",2007,Information Processing & Management,https://doi.org/10.1016/j.ipm.2006.06.007
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_10,"Bawden, D., & Robinson, L.","The dark side of information: overload, anxiety and other paradoxes and pathologies",2009,Journal of Information Science,https://doi.org/10.1177/0165551509336806
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_11,"Blandford, A., & Attfield, S.",Interacting with information,2010,Synthesis Lectures on Human-Centered Informatics,https://doi.org/10.2200/S00227ED1V01Y200911HCI006
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_12,"Blandford, A., Makri, S., & Gow, J.",Framework for understanding people's drug information seeking,2011,Health Informatics Journal,https://doi.org/10.1177/1460458211409748
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_13,"Blandford, A., Stelmaszewska, H., & Bryan-Kinns, N.",Use of multiple digital libraries: a case study,2001,Proceedings of the 1st ACM/IEEE-CS joint conference on Digital libraries,https://doi.org/10.1145/379437.379481
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_14,"Blandford, A., & Rugg, G.",A case study on integrating ethnographic and standard usability evaluation methods,2002,International Journal of Human-Computer Studies,https://doi.org/10.1006/ijhc.2002.1036
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_15,"Blandford, A., Faisal, S., & Attfield, S.",Conceptual design for sensemaking support,2012,Proceedings of the 2012 ACM annual conference extended abstracts on Human Factors in Computing Systems Extended Abstracts,https://doi.org/10.1145/2212776.2223810
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_16,"Blandford, A., Gow, J., Makri, S., Rimmer, J., & Warwick, C.",Digital libraries in the laboratory and classroom: A multi-site ethnographic study,2007,Proceedings of the 7th ACM/IEEE-CS joint conference on Digital libraries,https://doi.org/10.1145/1255175.1255185
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_17,"Blandford, A., Makri, S., Rimmer, J., Sonnenberg, F., & Toms, E.",Understanding document triage in digital libraries,2007,Proceedings of the 11th European conference on Research and advanced technology for digital libraries,https://doi.org/10.1007/978-3-540-74851-9_6
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_18,"Blandford, A., Stelmaszewska, H., & Bryan-Kinns, N.",Use of multiple digital libraries: a case study,2001,Proceedings of the 1st ACM/IEEE-CS joint conference on Digital libraries,https://doi.org/10.1145/379437.379481
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_19,"Blandford, A., & Rugg, G.",A case study on integrating ethnographic and standard usability evaluation methods,2002,International Journal of Human-Computer Studies,https://doi.org/10.1006/ijhc.2002.1036
United Kingdom,High Income,Seeking,Claude-Haiku,United Kingdom_Seeking_20,"Blandford, A., Faisal, S., & Attfield, S.",Conceptual design for sensemaking support,2012,Proceedings of the 2012 ACM annual conference extended abstracts on Human Factors in Computing Systems Extended Abstracts,https://doi.org/10.1145/2212776.2223810
United Kingdom,High Income,Use,Claude-Haiku,United Kingdom_Use_1,"Rowley, J.",The wisdom hierarchy: representations of the DIKW hierarchy,2007,Journal of Information Science,https://doi.org/10.1177/0165551506070706
United Kingdom,High Income,Use,Claude-Haiku,United Kingdom_Use_2,"Bawden, D., & Robinson, L.","The dark side of information: overload, anxiety and other paradoxes and pathologies",2009,Journal of Information Science,https://doi.org/10.1177/0165551509336806
United Kingdom,High Income,Use,Claude-Haiku,United Kingdom_Use_3,"Urquhart, C., & Yeoman, A.",Information behaviour of women: theoretical perspectives on gender,2010,Journal of Documentation,https://doi.org/10.1108/00220411011023634
United Kingdom,High Income,Use,Claude-Haiku,United Kingdom_Use_4,"Spink, A., & Cole, C.",Human information behavior: Integrating diverse approaches and information use,2006,Journal of the American Society for Information Science and Technology,https://doi.org/10.1002/asi.20249
