Country,Income_Level,Prompt_Type,LLM,Citation_ID,Author,Title,Year,Journal,DOI,DOI_Valid,Geographic_Relevant,CrossRef_Title,CrossRef_Authors,CrossRef_Year,CrossRef_Journal,Validation_Error
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_10,"Johnson, C. A.",Information literacy and the American high school: A case study,2000,School Library Media Research,10.1007/978-3-319-61742-6_1,False,False,,,,,DOI not found in CrossRef
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_11,"Gross, M.",The impact of information literacy instruction on student self-efficacy,2005,College & Research Libraries,10.5860/crl.66.6.530,False,False,,,,,DOI not found in CrossRef
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_12,"Julien, H.",Information literacy and the workplace: A review of the literature,2002,Library & Information Science Research,10.1016/S0740-8188(02)00120-4,False,False,,,,,DOI not found in CrossRef
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_13,"Limberg, L.",Information seeking and the construction of meaning: A study of adolescents' use of information in everyday situations,1999,Information Research,10.1007/978-3-319-61742-6_1,False,False,,,,,DOI not found in CrossRef
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_1,"Bakshy, E., Messing, S., & Adamic, L. A.",Exposure to ideologically diverse news and opinion on Facebook,2015,Science,10.1126/science.aaa1160,True,True,Exposure to ideologically diverse news and opinion on Facebook,Eytan Bakshy; Solomon Messing; Lada A. Adamic,2015,Science,
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_2,"Vosoughi, S., Fowler, J. H., & Aral, S.",The spread of true and false news online,2018,Science,10.1126/science.aau4585,False,False,,,,,DOI not found in CrossRef
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_3,"Guess, A., Nyhan, B., & Reifler, J.",Exposure to untrustworthy websites in the 2016 US presidential election,2018,Nature Human Behaviour,10.1038/s41562-018-0335-5,False,False,,,,,DOI not found in CrossRef
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_4,"Shu, K., Sliva, A., Wang, S., Tang, J., & Liu, H.",Fake news detection on social media: A data mining perspective,2017,SIGKDD Explorations,10.1145/3137597.3137600,True,True,Fake News Detection on Social Media,Kai Shu; Amy Sliva; Suhang Wang,2017,ACM SIGKDD Explorations Newsletter,
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_5,"Pennycook, G., & Rand, D. G.",The psychology of fake news,2019,Trends in Cognitive Sciences,10.1016/j.tics.2019.09.005,True,False,How Efficiency Shapes Human Language,Edward Gibson; Richard Futrell; Steven T. Piantadosi,2019,Trends in Cognitive Sciences,
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_6,"Lazer, D. M. J., et al.",The science of fake news,2018,Science,10.1126/science.aao2998,True,False,The science of fake news,David M. J. Lazer; Matthew A. Baum; Yochai Benkler,2018,Science,
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_7,"Bessi, A., Coletto, P., Vaccari, C., & Scala, A.",Social media and political participation: The role of echo chambers and filter bubbles,2016,"Information, Communication & Society",10.1080/1369118X.2016.1203258,False,False,,,,,DOI not found in CrossRef
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_8,"Mutz, D. C., & Martin, P. S.",Facilitating communication across lines of political difference: The role of mass media,2001,American Political Science Review,10.2307/2659160,True,True,"Marketing the Menacing Fetus in Japan. By Helen Hardacre. Berkeley: University of California Press, 1997. 310 pp. $35.00 (cloth); $17.95 (paper).",Anne Allison,1999,The Journal of Asian Studies,
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_9,"Bennett, W. L., & Iyengar, S.",The role of media in American politics,2008,Annual Review of Political Science,10.1146/annurev.polisci.11.050506.183002,False,False,,,,,DOI not found in CrossRef
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_10,"Delli Carpini, M. X., & Keeter, S.",What Americans know about politics and why it matters,1996,Yale University Press,10.2307/j.ctt1fxt00g,False,False,,,,,DOI not found in CrossRef
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_11,"McCombs, M. E., & Shaw, D. L.",The agenda-setting function of mass media,1972,Public Opinion Quarterly,10.1086/268061,True,False,Television and Adolescent Conventionality: An Exploratory Study,Russell H. Weigel; Richard Jessor,1973,Public Opinion Quarterly,
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_12,"Chaffee, S. H., & Berger, C. R.",Selective exposure: Antecedents and consequences,1987,Advances in Experimental Social Psychology,10.1016/S0065-2601(08)60391-4,False,False,,,,,DOI not found in CrossRef
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_13,"Eveland Jr., W. P.","The effects of political discussion in producing informed citizens: The roles of information, motivation, and discussion networks",2004,Political Communication,10.1080/10584600490438097,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_1,"Taylor, R. S.",Information needs of individuals,1968,Annual Review of Information Science and Technology,10.1002/aris.1400030103,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_2,"Chatman, E. A.",The information world of low-income women,1992,Library & Information Science Research,10.1016/0740-8188(92)90003-3,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_3,"Case, D. O.","Looking for information: A survey of research on information seeking, needs, and behavior",2012,Emerald Publishing Limited,10.1108/9781780520083,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_4,"Kuhlthau, C. C.",Seeking meaning: A process approach to library and information services,1993,Libraries Unlimited,10.1007/978-3-319-61755-3_1,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_5,"Spink, A.; & Cole, C.",Human information behavior,2006,Information Processing & Management,10.1016/j.ipm.2005.06.003,True,False,Exploiting structural information for semi-structured document categorization,Andrej Bratko; Bogdan Filipič,2006,Information Processing &amp; Management,
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_6,"Hsieh-Yee, I.",Information needs and information seeking behavior of the elderly: A review of the literature,1993,Library & Information Science Research,10.1016/0740-8188(93)90010-4,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_7,"Vakkari, P.",Information seeking in context: A review of research on information needs and information seeking,2003,Annual Review of Information Science and Technology,10.1002/aris.1450370106,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_8,"Fisher, K. E.; Erdelez, S.; & McKechnie, L.",Theories of information behavior,2005,"Information Today, Inc.",10.1007/978-3-319-61755-3_2,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_9,"Johnson, J. D.",Information seeking: An overview,1997,Annual Review of Information Science and Technology,10.1002/aris.1400320103,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_10,"Taylor, R. S.",Question-negotiation and information seeking in libraries,1962,College & Research Libraries,10.5860/crl.23.3.247,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_11,"Bates, M. J.",Information search tactics,1979,Information Processing & Management,10.1016/0306-4573(79)90006-X,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_12,"Marchionini, G.",Information seeking in electronic environments,1995,Cambridge University Press,10.1017/CBO9780511558045,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_13,"Allen, B. R.",Cognitive abilities and information retrieval,1996,Annual Review of Information Science and Technology,10.1002/aris.1400310105,False,False,,,,,DOI not found in CrossRef
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_14,"Ingwersen, P.",Information retrieval interaction,1992,Taylor Graham,10.1007/978-3-319-61755-3_3,False,False,,,,,DOI not found in CrossRef
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_1,"Bates, M. J.",Information behavior,2005,Annual Review of Information Science and Technology,10.1002/aris.2000,False,False,,,,,DOI not found in CrossRef
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_2,"Case, D. O.","Looking for information: A survey of research on information seeking, needs, and behavior",2016,Emerald Publishing Limited,10.1108/S0276-3977(2016)0000052002,False,False,,,,,DOI not found in CrossRef
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_3,"Kuhlthau, C. C.",Seeking meaning: A process approach to library and information services,1993,Libraries Unlimited,10.4324/9781003056788-1,False,False,,,,,DOI not found in CrossRef
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_4,"Chatman, E. A.",The information world of low-income women,1992,Library & Information Science Research,10.1016/0740-8188(92)90003-Y,False,False,,,,,DOI not found in CrossRef
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_5,"Taylor, R. S.",Information use environments,1991,Progress in Communication Sciences,10.1016/S0163-6847(08)60006-4,False,False,,,,,DOI not found in CrossRef
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_6,"Fisher, K. E., Erdelez, S., & McKechnie, L.",Theories of information behavior,2005,Information Today,10.1007/978-3-540-28260-8_1,False,False,,,,,DOI not found in CrossRef
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_7,"Johnson, J. D.",Information seeking: An overview,1997,Annual Review of Information Science and Technology,10.1002/aris.1400320104,False,False,,,,,DOI not found in CrossRef
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_8,"Vakkari, P.",Information seeking in context: A review of research on information seeking in work settings,2003,Information Research,10.4324/9781003056788-1,False,False,,,,,DOI not found in CrossRef
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_9,"Hsieh-Yee, I.",Information needs and information-seeking behaviors of the elderly: A review of the literature,1993,Library & Information Science Research,10.1016/0740-8188(93)90010-4,False,False,,,,,DOI not found in CrossRef
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_10,"Sonnenwald, D. H.",Information seeking and use in interdisciplinary contexts,1996,Annual Review of Information Science and Technology,10.1002/aris.1400310105,False,False,,,,,DOI not found in CrossRef
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_11,"Choo, C. W.",Information management for the intelligent organization: The art of scanning the environment,2006,Information Today,10.1007/978-3-540-28260-8_2,False,False,,,,,DOI not found in CrossRef
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_12,"Nardi, B. A., & O'Day, V.",Information ecologies: Using technology with heart,1999,MIT Press,10.7551/mitpress/4279.001.0001,True,True,The LOCUS Distributed System Architecture,Gerald J. Popek,1986,,
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_1,"Case, D.O.",Looking for information: A survey of research on information seeking behavior,2002,Academic Press,10.1016/B978-012163071-6/50003-8,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_2,"Bates, M.J.",Information search tactics,1979,Information Processing & Management,10.1016/0306-4573(79)90006-0,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_3,"Kuhlthau, C.C.",Information search process: A summary of research and implications for school library media programs,1989,School Library Media Quarterly,10.1016/j.chb.2009.03.004,True,False,Gender stereotyping over instant messenger: The effects of gender and context,Emily Christofides; Towhidul Islam; Serge Desmarais,2009,Computers in Human Behavior,
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_4,"Spink, A., & Cole, C.",Human information behavior,2006,Information Processing & Management,10.1016/j.ipm.2005.09.003,True,False,The effectiveness of Web search engines for retrieving relevant ecommerce links,Bernard J. Jansen; Paulo R. Molina,2006,Information Processing &amp; Management,
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_5,"Chatman, E.A.",The information world of retired women,1996,The Library Quarterly,10.1086/602709,True,False,<i>A Skeptic among Scholars: August Frugé on University Publishing</i>. August Frugé,"Datus C. Smith,",1994,The Library Quarterly,
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_6,"Taylor, R.S.",Question-negotiation and information seeking in libraries,1968,College & Research Libraries,10.5860/crl.29.3.178,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_7,"Vakkari, P.",Information seeking in context: A review of research on information seeking in work settings,2003,Information Research,10.4324/9781003069674-10,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_8,"Ingwersen, P.",Information retrieval interaction,1992,Taylor Graham,10.1007/978-3-642-77993-6_1,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_9,"Marchionini, G.",Information seeking in electronic environments,1995,Cambridge University Press,10.1017/CBO9780511558045,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_10,"Hert, C.A.",Information behavior of scientists and engineers,2002,Annual Review of Information Science and Technology,10.1002/aris.1450360106,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_11,"Fisher, K.E., Erdelez, S., & McKechnie, L.",Theories of information behavior,2005,Information Today,10.1007/978-3-642-00875-6_1,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_12,"Dervin, B.",Sense-making as a core construct in information science: Developments over time,2003,Information Theory,10.1007/978-3-642-56078-6_1,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Seeking,Gemini-Flash-Lite,United Kingdom_Seeking_13,"Sonnenwald, D.H.",Communication approaches to information seeking and use,1996,Annual Review of Information Science and Technology,10.1002/aris.1450310105,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_1,"Van Dijck, J.",The culture of connectivity: A critical history of social media,2013,Oxford University Press,10.1093/acprof:oso/9780199970773.001.0001,True,False,The Culture of Connectivity,Jose van Dijck,2013,,
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_2,"Couldry, N.","Media, voice, and civic renewal: Reflections on the public sphere",2006,"Media, Culture & Society",10.1177/0163443706061766,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_3,"Coleman, S.",The Internet and the public sphere,2005,"Media, Culture & Society",10.1177/0163443705050893,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_4,"Chadwick, A.",The hybrid media system: Politics and power,2017,Oxford University Press,10.1093/oso/9780190262553.001.0001,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_5,"Dahlgren, P.","The Internet, public spheres and political communication: Dispersion and deliberation",2001,Political Communication,10.1080/10584600152703877,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_6,"Curran, J.","Power without responsibility: The press, broadcasting and the Internet in Britain",2010,Routledge,10.4324/9780203850394,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_7,"Gripsrud, J.",The dynamics of the public sphere: A critical approach,2002,Norsk medietidsskrift,10.18261/issn1891-1667-2002-02-03-04-03,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_8,"Hallin, D. C. & Mancini, P.",Comparing media systems: Three models of media and politics,2004,Cambridge University Press,10.1017/CBO9780511790853,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_9,"Norris, P.","Digital divide: Civic engagement, information poverty, and the Internet worldwide",2001,Cambridge University Press,10.1017/CBO9780511489861,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_10,"Schudson, M.",The sociology of news,2003,W. W. Norton & Company,10.4324/9780203981889,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_11,"Thompson, J. B.",The media and modernity: A social theory of the media,1995,Stanford University Press,10.1017/CBO9780511557739,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_12,"Castells, M.",The rise of the network society,2010,Wiley-Blackwell,10.1002/9781444319514,True,False,The Rise of the Network Society,Manuel Castells,2009,,
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_13,"Fenton, N.",The role of the media in the construction of public opinion,2010,Routledge,10.4324/9780203850394,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Use,Gemini-Flash-Lite,United Kingdom_Use_14,"Wahl-Jorgensen, K.","Emotions, media and politics",2018,Polity Press,10.1002/9781119420727,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_1,"Bimber, B.",The Internet and Citizen Empowerment: Democratic Participation after the Internet,2003,Public Administration Review,10.1111/1540-627X.00260,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_2,"Coleman, S.",Connecting Parliament to the Public via the Internet: The UK Experience,2000,Parliamentary Affairs,10.1093/pa/53.2.230,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_3,"Gibson, R. & Ward, S.","U.K. Political Parties and the Internet: 'Outreach, Mobilisation or Reinforcement?",2000,Political Studies,10.1111/1467-9248.00251,True,False,The Politics of Governance in Higher Education: The Case of Quality Assurance,Brian Salter; Ted Tapper,2000,Political Studies,
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_4,"Loader, B. D. & Thomas, F. G.","The Internet, Citizenship and Political Participation: Exploring the Prospects",2000,"Information, Communication & Society",10.1080/13691180050002035,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_5,"Margolis, M., Resnick, D. & Turow, J.",The Internet and Civic Engagement: Toward a Theory of the Transformation of Political Participation,2000,Political Communication,10.1080/10584600050118277,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_6,"Norris, P.","Digital Divide: Civic Engagement, Information Poverty, and the Internet Worldwide",2001,Cambridge University Press,10.1017/CBO9780511489961,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_7,"O'Hara, K.",The Internet and the Public Sphere: A Critical Analysis of the UK Experience,2002,New Media & Society,10.1177/14614440222226355,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_8,"Chadwick, A.",Bringing E-Democracy Back In: Why It Matters for Political Science,2003,Political Communication,10.1080/10584600390248124,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_9,"Jackson, N.",The Internet and Political Participation in the UK: A Case Study of the 2001 General Election,2003,"Information, Communication & Society",10.1080/1369118032000078395,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_10,"Browning, S.",The UK Government's Use of Social Media: A Case Study of the Department for Work and Pensions,2012,Public Policy and Administration,10.1177/0952076711429685,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_11,"Hague, B. & Loader, B. D.",Digital Democracy: Discourse and Decision Making in the Information Age,1999,Routledge,10.4324/9780203204965,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_12,"Jackson, N. A.",The Internet and Political Participation in the UK: A Case Study of the 2001 General Election,2003,"Information, Communication & Society",10.1080/1369118032000078395,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_13,"Lilleker, D. G. & Jackson, N. A.",The UK General Election 2005: The Internet and the Campaign,2006,Parliamentary Affairs,10.1093/pa/gsl002,True,False,Electrifying Democracy? 10 Years of Policy and Practice,Scott Wright,2006,Parliamentary Affairs,
United Kingdom,High Income,Sharing,Gemini-Flash-Lite,United Kingdom_Sharing_14,"Watt, P.",The UK Government's Use of Social Media: A Case Study of the Department for Work and Pensions,2012,Public Policy and Administration,10.1177/0952076711429685,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_1,"Taylor, R.S.",Question-negotiation and information seeking in libraries,1968,College & Research Libraries,10.5860/crl.29.3.178,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_2,"Chatman, E.A.",The information world of retired women,1992,The Library Quarterly,10.1086/602206,True,False,Ethical Practices in Journal Publishing: A Study of Library and Information Science Periodicals,,1990,The Library Quarterly,
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_3,"Dervin, B.",From the micro to the macro: Integrating social and individual perspectives on information use,1999,Information Processing & Management,10.1016/S0306-4573(99)00033-X,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_4,"Case, D.O.","Looking for information: A survey of research on information seeking, needs, and behavior",2012,Emerald Publishing Limited,10.1108/S0276-3977(2012)0000034005,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_5,"Bates, M.J.",Information search tactics,1979,Information Processing & Management,10.1016/0306-4573(79)90006-0,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_6,"Kuhlthau, C.C.",Seeking meaning: A process approach to library and information services,1993,Greenwood Press,10.1007/978-1-4615-2945-8,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_7,"Ingwersen, P.",Information retrieval interaction,1992,Taylor Graham,10.1007/978-1-4615-2945-8,False,False,,,,,DOI not found in CrossRef
United Kingdom,High Income,Needs,Gemini-Flash-Lite,United Kingdom_Needs_8,"Hert, C.A.",Information needs and information seeking in the workplace,2002,Annual Review of Information Science and Technology,10.1002/aris.1450360106,False,False,,,,,DOI not found in CrossRef
